,address,artists,city,county,full_address,id,images,latitude,longitude,notes,state,neighborhood
255,1230 Library Street,"ADRIAN FALKNER', 'TRISTAN EATON', 'HENSE', 'HOW', 'NOSM', 'CYRCLE', 'MR. JAGO', 'AUGUSTINE KOFIE', 'MAYA HAYUK', 'PUSH', 'DABS MYLA', 'SAM FRIEDMAN', 'MATT W. MOORE', 'SANER', 'INTERESNI KAZKI', 'LOGAN HICKS', 'LUCY MCLAUCHLAN', 'REMI ROUGH', 'VICTOR REYES', 'GAIA', 'WAIS', 'B.",Detroit,Wayne County,"Library Street, Detroit, MI, USA",m0569,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0569.jpg,42.33428,-83.046925,,Michigan,Downtown Detroit
256,2934 Russell Street,"OUIZI', 'MICHELLE TANGUAY",Detroit,Wayne County,"Wilkins Street, Detroit, MI, USA",m0101,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0101.jpg,42.349417,-83.041865,,Michigan,Eastern Market
257,2769 Vermont Street,DAVID SHILLINGLAW,Detroit,Wayne County,"Vermont Street, Detroit, MI, USA",m0104,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0104.jpg,42.335822,-83.075933,,Michigan,North Corktown
258,573 Monroe Street,"ELLEN RUTT', 'PATRICK ETHEN",Detroit,Wayne County,"Monroe Street, Detroit, MI, USA",m0135,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0135.jpg,42.335415,-83.041381,,Michigan,Downtown Detroit
259,3945 Lincoln Street,FEL3000FT,Detroit,Wayne County,"Lincoln Street, Detroit, MI, USA",m0176,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0176.jpg,42.345242999999996,-83.07342,,Michigan,Woodbridge
260,6400 John R Street,unknown,Detroit,Wayne County,"East Baltimore Avenue, Detroit, MI, USA",m0253,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0253.jpg,42.369277,-83.069775,,Michigan,Milwaukee Junction
261,1335 Adelaide Street,MARLOBRO,Detroit,Wayne County,"Adelaide Street, Detroit, MI, USA",m0122,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0122.jpg,42.346065,-83.041184,,Michigan,Eastern Market
262,7892 Chrysler Drive,FEL3000FT,Detroit,Wayne County,"Russell Street, Detroit, MI, USA",m0145,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0145.jpg,42.378455,-83.062162,,Michigan,Milwaukee Junction
263,1236 Michigan Avenue,unknown,Detroit,Wayne County,"1236 Michigan Ave, Detroit, MI, USA",m0319,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0319.jpg,42.331777,-83.062954,,Michigan,Corktown
264,14864 Mendota Street,unknown,Detroit,Wayne County,"Detroit, MI, USA",m0383,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0383.jpg,42.398649,-83.164515,,Michigan,Detroit
